SME_No,Company_Name,Company Address,City,Country_Name,Tel_Number,Email_address,Website,Legal_structure,LOB_Description,Sector
1,HEALTHCARE INTERNATIONAL NIGERIA LTD.,"308A, Murtala Mohammed Way, Yaba",Lagos,Nigeria,234(0)8052099099,info@healthcare-ng.com,www.healthcare-ng.com,Private limited co,Subject Is Into Healthcare Management Services.,Other Service Activities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agriculture
23,CATAMARAN NIGERIA LTD,192B Isale Eko Street Dolphin Estate,Lagos,Nigeria,234(1)7732022,olayiore at yahoo.com, ,Private limited co,Subject Is Into General Transportation Business.,Transport/storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,BOT ENGINEERING CO LTD,"21 Oguntona Crescent, Gbagada",Lagos,Nigeria,234(0)7038000729,info@botengineeringcoltd.com,http://www.botengineeringcoltd.com/,Limited liablity company,"BOT Engineering Company Limited carries out the finest quality MEP and Telecom installations, maintenance and building design services ",Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,OVERLAND AIRWAYS LIMITED,"17, Simbiat Abiola Road",Lagos,Nigeria,234(1)4979780,admin@landoverland.aero,www.overland.aero,Limited liablity company,"Scheduled Domestic Airline Operations, International Air Travel & Ticketing Services, Aircraft Charter, Holiday & Tour Packages",Transport/storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,H.D.F. AND SONS NIGERIA LTD,"24, Unity Road",Kano,Nigeria,234(64)642764,"hdfsons@hotmail.com, hdfsons@yahoo.com", ,Limited liablity company,"Sales Of Chemicals, (Agro-Allied, Tannery And Industrial), Textiles And Food Items",Wholesale/retail trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,AJUMOGOBIA & OKEKE,Sterling Towers 20 Marina,Lagos,Nigeria,234(1)2719368,"ao@ajumogobiaokeke.com, chris@ajumogobiaokeke.com",www.ajumogobiaokeke.com,Partnership,Legal Practitioners And Consultants,Other Service Activities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,HALLIBURTON WEST AFRICA LTD,Plot 90 Ajose Adeogun Street,Lagos,Nigeria,234(1)2715020,chinyere.okeke@halliburton.com,www.halliburton.com (Global Website),Private limited co,Subject Offers Oilfield Services.,Petroleum downstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,OZED VENTURES LIMITED,"10, Adelabu Close Off Ola Ayinde Street",Lagos,Nigeria,234(1)4961641,ozedintl@metrong.com;info@ozedinternational.com, ,Private limited co,Sales Of Equipment And Industrial Materials,Wholesale/retail trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,TRUSSNET LIMITED,"141A, Olabode George Crescent Off Ligali Ayorinde Street",Lagos,Nigeria,234(1)2716353,info@trussnetltd.com,www.trussnetltd.com,Private limited co,Telecommunication & Ict Services,Information & Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,JOHNSON WAX NIGERIA LIMITED,13/14 Abimbola Street Isolo Industrial Estate,Lagos,Nigeria,234(1)2805190,ngcustcare@scj.com; aaajibow@scjohnson.com,www.scjohnson.com,Private limited co,"Manufactures Industrial Inorganic Chemicals (Cleaning, Polishing Terrazzo & Marble Floors, Sale Of Household Cleaning Products, Personal Care & Insect Control)",Wholesale/retail trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PROFIELD NIGERIA LTD,Plot 111 Eletu Ogabi Street,Lagos,Nigeria,234(1)2613765, , ,Private limited co,Subject Is Into Oil Field Services.,Petroleum downstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,LOTALAN NIGERIA LIMITED,2 Ribadu Road Off Awolowo Road,Lagos,Nigeria,234(1)2673196,lotalan@infoweb.abs.net, ,Private limited co,Sales Of Rugs,Wholesale/retail trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,SHIP AND SHORE SERVICES LTD,Lsdpc Luxury 24 Adeola Odeku Street,Lagos,Nigeria,234(0) ,"ship&shore@linkserve.com.ng, shipandshore@linkersve.com.ng", ,Private limited co,Ship & Shore Services Limited is a shipping company having 3 oil tankers and 5 tug boats providing services in shipping companies.,Transport/storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,NIGERIA CARTON & PACKAGING MANUFACTURING CO. LTD,"No. 23, Industrial Avenue Ilupeju Industrial Estate",Lagos,Nigeria,234(1)2716697,nicapaco2006@yahoo.com, ,Private Limited Liability Company,"Manufactures Paper; Coated And Laminated Packaging Manufactures And Trading Of Packing Materialsmanufactures Packaging And Shipping Materials, Foamed Plasticwholesales Sanitary Food Containers Manufactures Sanitary Food Containers",Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,GIORGIO DREDGING LTD,10 Park Lane,Lagos,Nigeria,234(1)5450632,giorgio at nova.net.ng; giorgio at hyperia.com, ,Private limited co,"Subject Is Into Dredging & Related Services, Shore Protection And Pipe-Laying Services.",Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,TRANSGLOBAL INSURANCE BROKERS LTD,Plot 1663 Oyin Jolayemi Street,Lagos,Nigeria,234(1)2612263,info at transglobal.com.ng, ,Private limited co,Subject Handles Brokerage Services That Cover The Movable And Immovable Assets As Well As Other Related Insurance Business.,Financial Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ZENON PETROLEUM AND GAS LIMITED,13B Walter Carrington Crescent,Lagos,Nigeria,234(1)4485160,jamesbenson525@gmail.com,www.zenonpetroleumng.com (not working),Private Limited Liability Company,"Wholesales Petroleum Products, Engaged As Fuel Dealers, Marketing And Distribution Of Petroleum Products",Wholesale/retail trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,TONY CANE NIGERIA LTD,149/153 Broad Street,Lagos,Nigeria,234(1)2643713,tonycane at micro.com.ng; tejieji at yahoo.com, ,Private limited co,Subject Are Power Engineering Contractors And They Are Also Into Sales & Supply Of Building Engineering Materials And Also Into General Goods Import,Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,JKPEEZ IMPEX CO. NIG LTD,"No 78A Isale Eko Avenue Dolphin Estate, Ikoyi",Lagos,Nigeria,234(1)7744545,info@jkpeez.com; jkp-eng@metong.com,www.jkpeez.com,Limited liablity company,"Oilfield Supply And Services,Fire Protection Engineering,Procurement/Supply Of Personal Protective Equipment,Consultancy & Engineering Services,Installation & Maintainance Of Intruder Detection Systems",Petroleum downstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,SOFTWORKS LIMITED,Plot 242 Kofo Abayomi Street,Lagos,Nigeria,234(1)2611729, ,www.telnetng.com,Private Limited Liability Company,Computer Softwares,Information & Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,REALS PHARMACEUTICALS LIMITED,"Reals Plaza Plot 1 J Unaid Dosunmu Street Central Business, Alausa",Lagos,Nigeria,234(1)7741205,"reals@realsgroup.com, ade.popoola@realsgroup.com",www.realsgroup.com,Private Limited Liability Company,"Manufacturing, Sales & Marketing Of Pharmaceutical Products",Wholesale/retail trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PRIVATE NETWORKS NIGERIA LIMITED,Pnn House 1 Oremeji Street Off Obanle-Aro Avenue,Lagos,Nigeria,234(1)7746597,"info@pnngroup.net,aabiolaodunowo@pnngroup.net",www.pnngroup.net(Group),Private limited co,Sales And Distribution Of Information & Communication Facilities/Infrastructure; Information And Communication Consultancy Services,Information & Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,F K CONSTRUCTION LTD,10 Miller Road Off Club Road,Kano,Nigeria,234(64)631574, , ,Private limited co,Construction,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,MANIFOLD COMPUTERS LTD,"No. 22 Awoyemi Close Off Oyekan Street, Ogunlana Drive",Lagos,Nigeria,234(0)8033066104,manifold@manifoldcomputers.com,www.manifoldcomputers.com,Private limited co,Equipment/Material Supply Services: Supply Installation And Maintenance Of Computer Data Storage Systems And Communication Equipment,Information & Communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,VISTA INTERNATIONAL LIMITED,"Block 1, Plot 44 Jimoh Odutola Street Off Eric Moore, Surulere",Lagos,Nigeria,234(1)7744431,bamidele@ogunlowo.com;  vista@infoweb.abs.net;,www.vistaafrica.net,Private limited co,"Import, Conversion And Distribution Of Paper & Paper Products, Import Of Various Raw Materials Like Inks, Printing Plates, Glue, Etc. Required For Printing And Packaging Industry, Computer Training And General Trading. Manufacture Top Quality Exercise Books, Stationery Products, Paper, Printing Chemicals And Consumables.",Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,CITY CENTRAL GROUP OF COMPANIES LTD,22 Dibor Street Okota,Lagos,Nigeria,234(1)7731496, , ,Private limited co,Subject Is Into Engineering & Procurement Services,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,LIBRA INSURANCE BROKERS LTD,12 Anifowoshe Close Off Adeniran Ogunsanya Street,Lagos,Nigeria,234(1)7745922, , ,Private limited co,Insurance Brokerage Services.,Financial Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,BRAWAL LINES LTD,"Maritime House Kirikiri Lighter Terminal Phase I Oshodi-Apapa, Lagos Expressway",Lagos,Nigeria,234(1)5872491,aerogrup@infoweb.abs.net,www.brawalshipping.com (Group Website),Private limited co,"Engaged In Equipment Rental And Leasing, Clearing, Forwarding And General Services, Shipping, Warehousing, Terminal Operations",Transport/storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,THE BOOK COMPANY LIMITED,"1, Alabi Okumagbe Street Off Lagos Road By First Bank Of Nigeria Plc",Lagos,Nigeria,234(1)897601,"thebookcom@skannet.com, funmisticuk@yahoo.co.uk",www.thebookcom.com,Private limited co,"Publish And Print Books.Set-Up, Equip And Stock Libraries.Import And Distribute First Class, High Quality Stationary Products.Render Consultancy Services And Training.Operating Retail Outlets For Books, Stationery Products, Gift Items, Etc.Distribute Snopake Stationery Products, Swordfish Office Equipment And Platinum Pensbook Selling, Book Publishing, Book Distribution, Setting Up Of Libraries, Equipping And Stocking Of Libraries, Consultancy Services And Training.",Wholesale/retail trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,FIRST ALUMINIUM NIGERIA,"2, Akilo Street Ogba",Lagos,Nigeria,234(1)7349779,Info.ho@fanplc.com,www.fanplc.com,Public limited co,Manufacture Of Aluminum Sheets & Aluminum Roofing,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,LABSTOCK NIGERIA LTD,"34,Barikisu Iyede Street Off Unilag Road, Onitiri",Lagos,Nigeria,234(1)8752174,sales@labstocknigeria.com, ,Limited liablity company,"Distribution,Supply,Installation And Maintenance Of Scientific And Analytical Instrument Executive Distribution Of Shimadzu Analytical Instrument",Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,THE QUADRANT COMPANY,"32, Ladoke Akintola Street G.R.A, Ikeja",Lagos,Nigeria,234(1)7922953,info@quadrantcompany.com,www.quadrantcompany.com,Private limited co,"Provides Public Relations Services, Management Consulting Services And Communication Services",Other Service Activities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,NORCON INDUSTRIES LTD,18 Dantata Road,Kano,Nigeria,234(0) , , ,Private limited co,"architectural specialty product distribution firm specializing in educational, institutional, hospitality, church and commercial projects. ",Other Service Activities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,UNIVERSAL POWER SYSTEMS NIGERIA LTD,14 Coker Road,Lagos,Nigeria,234(1)4527108,info@universalpowersystems.com,www.universalpowersystems.com,Private limited co,"Sales & Service Of Generating Sets, Transformers, Lightning Arrestors, Switch Gears, Pumps & Valve.",Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,HEALTH FUNCTIONS NIGERIA LTD,8 Gbadebo Street Ojota,Lagos,Nigeria,234(1)4972627, , ,Private limited co,Healthcare,Other Service Activities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,OCTOPOL NIGERIA LIMITED,Galcon House Lekki Epe Expressway,Lagos,Nigeria,234(81)23464462,roseline@octopol.com;eabel@octopol.com,www.octopol.com,Private limited co,"Filtration powder (Diatomaceous Earth), Hard board, Plywood and MDF",Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,INE OIL LTD,Plot 1607 Adeola Hopewell Street,Lagos,Nigeria,234(1)4617595, , ,Private limited co,Sales and supply of petroleum products,Petroleum downstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,MAGNIFICIENT BANCSHARES LTD,19 Martins Street,Lagos,Nigeria,234(1)2644605, , ,Private limited co,"Money market, investment",Financial Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,KNIGHTBRIDGE LIMITED,"Amazing Grace Plaza 154, Murtala Muhammed Way",Lagos,Nigeria,234(1)7944860,info@knightsbridge-ng.com,www.knightsbridge-ng.com,Private limited co,"Logistics And Consulting, Oil And Gas Equipment Supply.",Petroleum downstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,TROPICAL SERVICES NIGERIA LIMITED,"31, Ladipo Oluwole Street Omole Phase 1",Lagos,Nigeria,234(1)4971096, , ,Private limited co,"Company is working in Fire Safety Consultants, Health and Safety, Laundry & Cleaning, Travel Agents, Building Materials, Transport, Education, Security business activities. ",Other Service Activities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,BIGA PROJECTS LTD,5 Esuola Street Off Okota-Palace Way,Lagos,Nigeria,234(0) , , ,Private limited co,Project Management ,Other Service Activities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PREMIUM SEAFOODS LTD.,419/425 Apapa-Oshodi Expressway,Lagos,Nigeria,234(0) , , ,Private limited co,Food Processing,Accommodation & Food Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
