,NAME,PHONE NO,COMPANY ORG,LOCATION,BIZ ADDRESS,SHARE CAPITAL,EMAIL,SECTOR,PRODUCT/SERVICES,NO OF EMPLOYEES,TURNOVER
,NLPC PENSION FUND ADMINISTRATORS LIMITED,234(1)2793580,,Lagos,Ikorodu Road Anthony,,info@nlpcpfa.com; shamsideen.solarin@nlpcpfa.com,Financial Services,Provides Pension Fund Administration And Financial Services,,
,AREACHOPS LIMITED,234(80)93799000,,Lagos,"20, Park Lane Apapa",,support@areachops.com; deyinbo.lawson@areachops.com,Accommodation & Food Services,Areachops Limited is an Online Food Delivery Service in NigeriaThis portal allows users to order their favourite meals fromdifferent restaurants available online and our dispatch  ridersdelivers these exquisite meals to the customers,,
,VINJOSCO INTERNATIONAL LIMITED,234(0)8033027065,,Lagos,"No. 21 Coker Street, By Coker B/Stop Along Mile 2-Orile Road, Badagry Exp. Way",,vinjoscointernational@gmail.com,Construction,"Contractor, Importing Of Heavy Equipment And Materials, Fire Fighting Equipment, Etc",,
,FAIRWELL INTERNATIONAL LIMITED,234(0)816605964,,Abia,142 Clifford Road,,hussainalhammadi6@gmail.com,Wholesale/retail trade,Wine And Distilled Alcoholic Beverage Merchant Wholesalers Industry,,
,TITAN INSURANCE BROKERS LIMITED,234(0)8132433631,,Lagos,"46, Olufemi Road Surulere",,info@titaninsurance.ng,Financial Services,"Insurance Brokers, Risk Analists, Insurance Portfolio Managers And Insurance Advisers",,
,JOMIVIC TRAVEL AGENCY,234(90)94440152,,Lagos,6 Soji Adepegba Close Off Allen Avenue,,travelsjomivic@gmail.com; jomivictravels@gmail.com,Transport/storage,"Travel management and consultancy including:  Ticketing,  Domestic and International Reservations and Ticketing",,
,NEWCASTLE TRAVELS & TOURS LTD,234(0)8033057231,,Lagos,Suites 6-7 Adekunle Banjo Avenue Magodo Gra,,info@newcastletravels.com ; newca2004@yahoo.com,Transport/storage,Operates Travel Agencies,,
,LAW TRAVELS AND TOURS LTD,234(1)29515 24,,Lagos,101 Zaheed Mall 13 Kudirat Abiola Way Oregun,,info@lawtravelsng.com; lawtravelsng@gmail.com,Transport/storage,Travel Agency,,
,MARVEL TRAVELS AND TOURS LIMITED,234(1)7746720,,Lagos,"17, Afolabi Aina Street Allen Ikeja",,marveltravellagos@yahoo.co.uk,Transport/storage,Travel Agency and consultancy,,
,PROFESSIONAL DEVELOPMENT CONSULTANT ASSOCIATES LIMITED,234(70)38260210,,Lagos,9a Forcados Road,,nonsoesotu@yahoo.com,Education,We promote registered products to help eradicate unregistered and fake ones.,,
,DOCHASE SOLUTIONS LIMITED,234(80)34410381,,Lagos,294 Herbert Macauley Way,,info@dochase.com,Information & Communication,Internet Marketing/Advertising platform,,
,FIDE-CALMARVIS VENTURES LTD,234(80)35483288,,Lagos,No 1 Amanoh Close Ameke Ngwo,,calymarvis@yahoo.com,Other Service Activities ,Labour supply,,
,SPEED-TRACK NIG LTD,234(80)99046888,,Lagos,Plot 504 Metro Connection Beside Ikeja Plaza,,info@speedtracknigeria.com,Information & Communication,IT Solution and network production distribution,,
,451 MEDIA LIMITED,234(80)99944200,,Lagos,29 Ladipo Oluwole Street Off Adeniyi Jones Avenue,,osaumweni@gmail.com,Information & Communication,"Digital media and marketing services, loyalty and consumer promotions",,
,MY BAZAAR ONLINE STORE,234(80)99046888,,Lagos,38 Olonode Street Alagomeji Yaba,,olaniyi@mybazzar.com.ng,Wholesale/retail trade,Business Service,,
,TOUCHCORE TECHNOLOGY LTD,234(1)2918381,,Lagos,"14B, Wole Ariyo Street Lekki Phase 1",,ick@touchcoreltd.com,Information & Communication,Ict Telecommunications,,
,BIG TOONZ MUSIC,234(0)7010094241,,Lagos,"No 2A, Abba Johnson Crescent Avenue Ikeja",,pnkanor@buchimusic.com; bigtoonzmuisc@gmail.com,Other Service Activities ,Performs Music Programs And Concerts,,
,VETTAL MEGA SERVICES LIMITED,234(0)7051957019,,Lagos,"16B Kenneth Agbakuru Street Off Road 12(Onikepo Akande Street), Off Admiralty Way",,mail.lagos@vettalmega.com; constance.e@vettalmega.com,Transport/storage,Marine Logistics/ Vessels Chartering,,
,LEELAND OLEUM GEORESOURCES,234(706)1212609,,Lagos,47 Olabanji Olajide Street Lekki Phase I,,unomahgeorge@gmail.com; geeife@yahoo.com,Mining & Quarrying ,Geological technical service and Geoscience  training/courses; Geochemical & environmental services; Supply of oil field materials and equipments,,
,SAFETY & PROTECTION MANAGEMENT SOLUTION LIMITED,234(1)2799591,,Lagos,Coker Road,,"info@bcsintegrated.com, bimbo.olaniyi@bcsintegrated.com",Other Service Activities ,We supply Personal Protective Equipment and Safety Items (3M Authorized Distributor),,
,VOLTAMP EQUIPMENT NIGERIA LTD,234(0)8159193234,,Lagos,"Junaid Dosumu Street, Plot 9, Block D Cbd, Agidingbi",,voltampproject@yahoo.com; voltampcommercial@yahoo.com,Other Service Activities ,Heavy Equipment Manufaturers,,
,EL-HARCON LIMITED,234(0)8063703159,,Lagos,No. 45 Opebi Road,,elharconlimited@yahoo.com; nkem@elharcon.com,Petroleum downstream,Sales And Installation Of Petroleum Testing Inst.,,
,CENTRIKS GLOBAL LIMITED,234(0)8033111709,,Lagos,Bayo Olumide Street,,echuba40@gmail.com,Other Service Activities , ,,
,C-SET INVESTMENT LIMITED,234(0)8036026869,,Lagos,Obafemi Awolowo Alausa Alausa Mall,,csetinvestment@gmail.com,Financial Services,Financial Management Consultancy,,
,ENDEAVOUR SOLUTION NIGERIA LTD,234(0)8129278532,,Lagos,27 A Alhaji Kolaoseni,,nigeria@endeavourafrica.com,Information & Communication,Information Technology Solutions,,
,GEOFOURIER SYSTEMS LIMITED,234(0)8056058520,,Lagos,Axiom Plaza Ayo Otuyemi Drive,,geofouriersystemsltd@gmail.com; nduikpo7@gmail.com,Transport/storage,Logistics,,
,ONE-MIND TECHNOLOGIES NIG LTD,234(0)8054722133,,Lagos,Oba Nle Aro Avenue Street,,onemindtech@gmail.com,Construction,Construction And Waterproofing of building And Roads using nano technologies,,
,OXFORD PRODUCTS GLOBAL CONCEPT,234(0)8033469322,,Lagos,Nigeria Army Shopping Complex Bolade,,oxfordpro2001@yahoo.com; adaaoko@yahoo.com,Information & Communication,"Computer Hardware, Repair And Services",,
,RODMAC SERVICES LIMITED,234(0)8023075102,,Lagos,Ladegbuwa Plaza 6 Ashabicolest,,rodmacser@yahoo.com,Information & Communication,Business Centres & Cyber Cafes,,
,SILVERAGE  LIMITED,234(1)2704344,,Lagos,AWole Akiyo Street Lekki Phase 1,,info@silveragegroup.com,Wholesale/retail trade,"Products, Dairies, Desktop, Clocks, Key Holders, Crystals, Business Cards, Letter Openers, Card Cases, Pen Series Trophies, Gift Sets and Packages",,
,SOCIETY OF NIGERIAN ARTISTS,234(0)8184543331,,Lagos,Aina Onabolu Building National Theatre Iganmu,,info@snanational.org,Other Service Activities ,Artist Association,,
,SUN LOGISTICS & MARINE SERVICES LTD,234(0)8077490247,,Lagos,Plateau Road,,info@sunlogisticsnigeria.com,Transport/storage,"Offers A Wide Range Of Shipping, Marine Services, High Technology Security Services, Logistics Services And Oil And Gas Support Services",,
,TEMPEY KONSULT,234(0)8037197377,,Lagos,Ekiti Road Erunweniko Rodu,,tempkon2@yahoo.com,Other Service Activities ,"Safety Services, Security Services and offering Driver Training, Driving Consultancy, Safety Management, Security Personnel Training, Transport Consultancy.",,
,CARE IT SOLUTIONS LTD,234(81)80220047,,Lagos,4a Deplazaville Allen Avenue Ikeja,,noah@careits.com.ng,Other Service Activities ,computer sales vendor and service center,,
,KANFE OLUWANISOLA & COMPANY LIMITED,234(80)63755413,,Lagos,"2, Lekan Solanke Close Ade-Oni Estate, Ojodu Berger",,kanfeoluwanisolacompanyltd@yahoo.com,Other Service Activities ,Electrical Contractor And General Suppliers,,
,TANKNOLOGY TESTING SERVICES NIGERIA LIMITED,234(1)8511225,,Lagos,Ymca Building 77 Awolowo Road,,bukola.osundiji@gmail.com,Petroleum downstream,"Calibration of tanks, tank integrity test, tank cleaning, tank fabrication, installations, & piping",,
,EGO BROTHERS IMPORTS CO.,234(0)8036183387,,Lagos,"Fola Soetan Street, Bucknor Estate Off Jakande Estate, Ejigbo L.G.A",,egobros@gmail.com;  egobros@yahoo.com,Other Service Activities ,"Used clothing,used shoes and PVC leatherette , beverages, canned food, chocolates, drinks",,
,BYO SOL NIGERIA LIMITED,234(0)9501810001,,Lagos,42 Community Road Allen Avenue,,a.odukomaiya@gmail.com; info@byosollimited.com,Other Service Activities ,Security And Investigation,,
,SELOK VENTURES LIMITED,234(80)33491479,,Lagos,1 Engineering Close,,selok@mail.com,Wholesale/retail trade,Dealers of personal protective equipment(ppes) and medical equipment,,
,DOMDIV SERVICES LIMITED,234(81)88430857,,Lagos,"House 6 5th Avenue, S Close Festac Town",,info@domdivservices.com,Transport/storage,"Travel agency, protocol and logistics services, packaging/branding & labelling of finished products, monogramming and corporate branding, publishing, provision of educational materials, polyethylene products, calendar, plaques, cards, etc",,
,WINZO TECHNICAL & LOGISTICS SERVICES LTD,234(80)98909015,,Lagos,48 Borno Crescent,,obiyorcs@winzotech.com,Transport/storage,"Logistics,contract/ procurement services and export.",,
,ORANGENOVA ENTERPRISE,234(0)8027383292,,Lagos,1 Akanni Bashua Street Off Bajulaiye Road,,talk2solar84@yahoo.co.uk,Information & Communication,"Media Advertising, Graphic Design And General Contracts",,
,ROYED INTERNATIONAL LIMITED,234(0)8029260520,,Lagos,"17A, Pedro Street, Oko-Awo 3Rd Floor, Lagos Island",,raydokun@gmail.com,Other Service Activities , ,,
,ROYAL VISION INVESTMENT LTD,234(802)5699303,,Lagos,"No.7, Sinatulane Behind Deeper Life Bible Church, Gbagada",,royalvision.investment@gmail.com,Other Service Activities ,Safety Metals,,
,AMBRICH GROUP LIMITED,234(1)2932261,,Lagos,57 Opepi Road,,info@ambrichgroup.com,Other Service Activities ,"Engineering Services, Technical Manpower Services And Training/Consultancy.",,
,RHODSUN NIGERIA ENTERPRISE,234(0)8068585610,,Abia,No 20 Umuimo Road,,ngoziazuka@gmail.com,Agriculture,Supplier Of White Meat,,
,LA-VALLEE ENERGY SERVICES LIMITED,234(1)2717769,,Lagos,"No. 11, Babafemi Osoba Crescent Off Admiralty Road",,info@lavalle-energy.com,Petroleum downstream,"Engaged As Agent And Service Provider Of Rov And Diving Services, Irm (Inspection, Repair & Maintenance), Decommissioning And Abandonment, Subsea Construction & Installation",,
,EDEN LIFESTYLE LIMITED,234(0)7062614551,,Lagos,6 Idowu Martins Streetvictoria Island,,contact@edenlifenigeria.com ;  wellness@edenlifenigeria.com,Construction,Building completion and finishing,,
,D-C MEKAS INDUSTRIES LIMITED,234(0)8033079996,,Lagos,"Zone C, Block 6 Shop 9, Aspamda Trade Fair",,deemeks2003@yahoo.com,Manufacturing,Manufacturers Of Cylinders And Liners,,
,EVANGELICAL CHURCH WINNING ALL,234(0)8025096450,,Kano,1 Mission Road,,ecwakanodchp@gmail.com,Other Service Activities ,Church,,
,KEANNE NIGERIA LIMITED,234(0)8023130401,,Lagos,"5B, Eboigbe Drive Abijo",,info@keanne.com.ng,Mining & Quarrying ,Drilling/Production Chemicals Drill Bits Oil Country Tubular Goods (Octg) Safety Equipments General Procurement Hr Services,,
,VIEWTECH GLOBAL LINK LIMITED,234(0)8020632258,,Lagos,"4, Jibowu Street",,sales@viewtechglobal.com,Information & Communication,It/Computer Consultancy Services; Computer Accessories Procurement & Supplies; General Procurement & Supplies; General Contracts,,
,AABSOL SOLUTIONS AND SERVICES LTD,234(0)8063422699,,Lagos,"24, Oke Street Off Charly Boy Bus Stop Gbagada",,aabsolmo@gmail.com,Wholesale/retail trade,"General Contracts, General Suppliers, Distributors Of General Goods(Whether Such Goods Are Manufactures In Whole Or In Part) Buying, Selling, Commission And Manufacturer Representatives",,
,OGBATECH SERVICES LIMITED,234(0)8037608819,,Lagos,37 Oyedele Street Egbe,,ogbatechservicesltd@yahoo.com,Information & Communication,Cable And Satellite Televsion Services; General Contracts,,
,HEMAFIELD VENTURES,234(0)8086308872,,Lagos,16 Maitama Sule Street Off Awolowo Road,,hemafield@yahoo.com,Other Service Activities ,Event Planning And Management,,
,ABD ENERGY SOLUTIONS LIMITED,234(0)9080000918,,Lagos,31A Providence Street Lekki Phase 1,,info@abdenergys.com,Petroleum downstream,"Lubricant Additives, Importer Of Specialty Chemicals For Oil And Gas Downstream",,
,DINAX NIGERIA LIMITED,234(0)8037212634,,Lagos,Domestic Wing Opposite Bristow Gat Road,,dinaxnigerialimited@gmail.com,Transport/storage,Supply Of Aviation Spare Parts,,
,JOSAF GLOBAL ENERGY LTD,234(0)8188190781,,Lagos,Block 94 Plot 8 Providence Street,,enquiries@josafglobal.com,Petroleum downstream,"Oil & Gas Consulting Services, Information Management, Reservoir Evaluation & Management, Field Development Planning, Geological Studies, Manpower Development And Training",,
,AEON AGRO LIMITED,234(0)8092685432,,Lagos,"Ogunye Zone 5, Robert Street Magodo Phase 2",,aeonagrolimited@gmail.com,Agriculture,"Suppliers Of Agricultural Commodities - Cereals Of All Type Including- Sorghurm/Maize/ Millet To Breweries, Malting And Beverage Companies",,
,STILBEIN SOLUTIONS LTD,234(0)8033823600,,Lagos,9 Hakeem Ajala Street Ogudu,,abayomi.olayioye@stilbein.com,Other Service Activities ,"Finance, Information technology, business re-engineering, oil and gas and various other business solutions.",,
,MEETZ GLOBAL INVESTEMENT LIMITED,234(0)8050300250,,Lagos,"58, Ibukun-Olu Street Akoka Yaba",,meetzglobal@gmail.com; martinohilebo@gmail.com,Other Service Activities ,Procurement/Supply Chain Manager,,
,VALLEY RIDGE ENERGY SERVICES LIMITED,234(0)8033855764,,Lagos,382 Ikorodu Road Maryland,,valleyridgeenergy@gmail.com,Other Service Activities ,We Provide Engineered Solutions Along With Procurement Services. We Also Build Capacity Through Training And Also Provide Personnel,,
,STEELCRAFT GLOBAL TECHNOLOGIES LIMITED,234(0)7037106124,,Lagos,"21, Ojuemuren Street Odogunyan",,steelcraftglobaltechnologies@gmail.com,Other Service Activities ,Engineering Service Provider.,,
,HEPICON NIGERIA LIMITED,234(703)52585,,Lagos,"4 Adelabu Close, Masha Surulere",,henry@hepiconng.com; info@hepiconng.com,Construction,Procurement Of Materials And Service For Project Needs Equipment Leasing,,
,EMD GLOBAL LTD,234(0)8035921116,,Lagos,Kilometer 3 Ikorodu Road Itowolo Village,,alibrahim@emdglobal.com; sales@emdglobal.co,Transport/storage,"Auto Spare Parts, Automobile And Offering Heavy Duty Spare Parts",,
,STRATEGIC RESOURCES AND INFORMATION LIMITED,234(0)8062622399,,Lagos,Argentil Offices The Octagon 13A Aj Marinho Drive,,info@strategic-rail.com; dib@strategic-rail.com,Other Service Activities ,Organisational Development Consultancy & Human Resource Management Advisors,,
,QUAD SIGNAL SOLUTIONS & SERVICES LIMITED,234(1)2917163,,Lagos,"No. 25, Balarabe Musa Crescent",,oagboola@quadsignals.com,Other Service Activities ,Service Provider,,
,ST. TWINS ALAKA INTERNATIONAL LIMITED,234(0)8035360191,,Lagos,"8, Adedoyin Street Palmgroove, Shomolu",,st.twinsalaka@gmail.com,Transport/storage,Freithfowarder,,
,SYSTEMGATE ENGINEERING LIMITED,234(1)2934191,,Lagos,"AHCN Towers CIPM Road, Alausa, Ikeja",,info@systemgateengineering.com,Other Service Activities ,"System Gate Engineering Limited Offers Services In The Area Of Industrial Compression Systems, Electrical Systems Engineering, Equipment Routine Testing And Diagnostics, Metering & Instrumentation, Calibration & Testing, Systems Integration, Maintenance And Repair Services, And Procurement Of Equipment And Spares.",,
,ACCORD CUSTOMER CARE SOLUTIONS,234(1)7418796,,Lagos,4 Fola Jinadu Crescent Gbagada Estate Phase 1,,info@accs-group.com,Information & Communication,"Ict Service Provider In The Following Areas, Distribution And Reselling, Systems Integration, Project Consultancy, After Sales Services/Training",,
,PACEPLUX,234(0)8059007403,,Lagos,Flat 13B Otunba Shobowale Estate,,info@paceplux.com.,Information & Communication,Software company,,
,FIELD SUPPORT SERVICES LIMITED,234(0)8172067105,,Lagos,"17, Gilbert Odior Street Thomas Estate",,geodior@yahoo.com; geodior@gmail.com,Mining & Quarrying ,"Consultancy, Equipment/Materials Supply & Geosciences, Manpower Supply, Community Affairs & Relationship",,
,SUNDIAL PROVIDA LIMITED,234(0)8037273680,,Lagos,5 Acme Crescent Agidingbi,,sundialprovida@gmail.com,Construction,"Engineering Services ? Mechanical, Electrical; Construction Services; General Contracts",,
,APPLISO TECHNOLOGIES LIMITED,234(0)8030600957,,Lagos,"10B,Emmanuel High Street Ojudu",,sam.adeniyi@appliso.com,Other Service Activities , ,,
,LUXURY VIEW LIMITED,234(0)8066721255,,Lagos,Tantalizer Building 81/87 Broad Street,,kmc20007@yahoo.com,Other Service Activities ,General Importation,,
,RAB-AGO (NIGERIA) ENTERPRISES,234(0)8182025529,,Lagos,"6, Esomo Close Allen Avenue Ikeja",,rabgirl1@gmail.com,Other Service Activities ,Sales And Servicing Of Safety Equipment,,
,GODIRRA CHEMICALS NIGERIA LIMITED,234(0)8183664298,,Lagos,9 Olawaiye Street Anifowoshe Area,,godirra@yahoo.com,Other Service Activities ,Environmental Management Consulting,,
,NOTABLE NIGERIA LIMITED,234(0)8033184140,,Lagos,"No 1, Abiodun Sadiku Street Abeokuta Express Way",,notablenigltd59@yahoo.com,Other Service Activities ,General Insulation,,
,CONSOLIDATED ENGINEERING SERVICE,234(0)8033473640,,Lagos,Oluyole Industrial Estate Ibadan,,ceseng2002@yahoo.com; otarutoma@yahoo.co.uk,Construction,Construction Chemicals & products for use in Offshore industry,,
,CHIFAN VENTURES,234(0)8037153283,,Lagos,"8, Ajao Road Off Adeniyi Jones Avenue",,chifanventure@gmail.com,Information & Communication,"Creative Hotshop - Designs & Production For Advertising, Sales & Marketing Etc",,
,GOVAK CONSULT AND TRAINERS LTD,234(0)8034023066,,Lagos,"House 1 G Jedmoon Court, Northern Foreshore Gate Chevron Drive",,grantonokurefe@gmail.com; govakconsult@gmail.com,Education,"Consulting , Training Facilitation& Research",,
,STERLING ENERGY LIMITED,234(0)8057771117,,Lagos,Number 7 Abimbola Close Off Oweh Street,,sterlingenergylimited@gmail.com,Other Service Activities ,"Subject Is Engaged In The Business Of Public Affairs Consulting Unbehalf Of Its Clients, With Various Government Agencies In The Marine Oil And Gas Industry",,
,STRATO PROJECTO LIMITED,234(0)8111121700,,Lagos,22 Oremeta Street Off Opebi Link Road,,Info@stratoprojecto.com,Construction,Construction and Contractors,,
,SYSTEME PECULIERE LIMITED,234(0)8182774422,,Lagos,47 Egbeda Road Egbeda,,s.ogunyowa@systemepeculiere.com.,Other Service Activities , ,,
,MEGATECH ENGINEERING NIGERIA LIMITED,234(0)8039449918,,Lagos,No 35 Simpson Street Mandilas House,,info@megatecheng.com.ng; Adesidarotimi2000@yahoo.com,Petroleum downstream,"Oil Servicing Company That Specializes In All Aspect Of Engineering, Construction Fabrication & Distribution Of Lpg Through Pipelines",,
,BOULOS GROUP,234(1)7745004,,Lagos,"Plot 10, Block D Acme Road Ogba Industrial Scheme",,contact@bil.groupboulos.com,Transport/storage,Transportation service,,
,CLEVER AGE GLOBAL MEDIA TECHNOLOGY LTD,234(0)8092222164,,Lagos,286 Agege Motor Road Mushin,,mary.boye@cleverageglobal.com; admin@cleverageglobal.com,Information & Communication,Media Broadcasting And Technical Solution Providers To Satellite Communication Industry,,
,OLINIA ENERGY RESOURCES LIMITED,234(0)8088554241,,Lagos,"Suite B16 Ikota Shopping Complex Road 2, V.G.C Ajah",,info@oliniagroup.com,Petroleum downstream,"Oil & gas service, projects execution and logistics",,
,TAYO LALEYE & COMPANY,234(1)4540507,,Lagos,Ogundana Street Off Allen Avenue,,anthonylalaye@tayolaleyeandco.com,Other Service Activities ,"Law Firm, Providing Legal Services To Corporate, State And Private Individuals",,
,HAYBEE CROWN GEO-INFORMATICS LIMITED,234(0)8037148354,,Ogun,"152, Mowe-Ofada Road Ogun State, Mowe Ogun State",,israel_ilori@yahoo.com,Information & Communication,Information And Communication Technologies,,
,PER L'UMANITA INTERNATIONAL LIMITED,234(0)8039609026,,Lagos,"140A Gmelia Close, Alfred Garden Estate Oregun",,emmanuel.ejoor@perlumanita.com; info@perlumanita.com,Other Service Activities ,Engaged As Holding Companyprovides It Professional & Consultancy Services:Business & It Strategyarchitecture & Designenterprise Server & Storage Solutionsdata Migration Servicesdata Protection Solutions (Backup & Disaster Recovery)Network & Security Solutionsit Service Management Solutionsict Installation & Deployment Servicesit Support Servicesonsite Residency Resourcing Services,,
,COOL END ENTERPRISES,234(0)8033037193,,Lagos,Block 10 Shop 35 Agric Market Orile Coker,,secondson77@yahoo.com,Construction,Building Material Plumbling,,
,POINT PRINT MANAGEMENT NIGERIA LIMITED,234(0)8033002194,,Lagos,13 Military Street Onikan,,nigeria@printoutsource.com,Other Service Activities ,"Marketing Materials Procurement Specialists - Managing The Procurement Of All Printed Goods (Flat Print, Point Of Sale Units, Promotional Products And Electronic Print)",,
,GBACARD LIMITED,234(0)8167439535,,Lagos,"3, Columbine Street Northern Foreshore",,info@gbacard.com,Information & Communication,Mobile App Development Services,,
,WILD FUSIONS LIMITED,234(0)7043353531,,Lagos,205A Corporation Drive Dolphin Estat,,info@wildfusions.com,Other Service Activities ,Marketing agency,,
,A.B.A RUFTECH AND COMPANY LIMITED,234(0)8057451112,,Lagos,"6, Adegbite Street Ilasamaja",,aba_ruftech@yahoo.com; ruftech@hotmail.com,Other Service Activities ,Supply Of Engineering Services And Parts,,
,CAROSOSA NIGERIA LIMITED,234(0)8096768318,,Lagos,"Dormanlong Facility, Naval Dockyard Wilmont Point, Ahmadu Bello Way",,carososa_14@yahoo.com,Transport/storage,"Procurement Both Local And Foreign, Equipment Hiring And Leasing Such Barges Logistic Boats, Heavy Lift Mobile Cranes, Compressors, Ballasting Pumps, Logistic Vehicles For Workers And Post Weld Heat Treatment Machine",,
,MEDITOOLS INTERNATIONAL LIMITED,234(0)8033808484,,Lagos,"46, Adebowale Street Saabo-Ojodu",,meditools2010@hotmail.com,Other Service Activities ,Sales Of Medical Laboratory Equipment And Consumables,,
,REGENT TRADING COMPANY LTD.,234(0)9021957264,,Lagos,"14 Line D, Opposite Electronic Plaza Alaba Inter Market Ojo",,regenttradeco@gmail.com,Wholesale/retail trade,Engaged Into Wholesale Of Food And Beverages,,
,ROYAL STAMFORD LIMITED,234(0)8079715690,,Lagos,5 Kunle Aresa Street Off Win-Funke Olowe Crescent,,info.royalstamford@gmail.com;,Wholesale/retail trade,Trading Of Office Equipment,,
,CHEMSOL NIGERIA LTD,234(0)8037148411,,Lagos,Block B Simpson Street Sura Shopping Complex,,chemsolnigrltd@yahoo.com,Other Service Activities ,"Procurement, Storage And Supply, Business Of Trading General Supplies",,
,3RS INTEGRATED SERVICES AND INVESTMENT LIMITED,234(0)7066939245,,Lagos,Odua International Market Ikorodu Road,,enquiries@3rintservices.com,Construction,Civil Construction And Community Engagement,,
,ROCCISANO COMPANY LIMITED,234(0)9086317201,,Lagos,Ojoku Street Olodi-Apapa,,jasminetwins@yahoo.com,Other Service Activities ,"We create a platform where commodities ranging from Petroleum Crude Oil, Petroleum by-products, LPG & LNG etc, Mineral resources like Gold, Silver etc and Agro Allied Products like Palm oil and other Palm by-products can be traded between buyers and sellers.",,
,IRISA COMSEC LIMITED,234(0)8022654837,,Lagos,House 17B Blk. Off Lekki-Epe Express Road Road 401 Abraham Adesanya Estate,,dvdavni@yahoo.com,Information & Communication,Provides Telecommunication & Security Services,,
